item,name_enus,when,pricemin,priceavg,pricemax,pricestart,priceend,quantityavg,quantitymin,quantitymax
152576,Tidespray Linen,2019-05-25,173,201,240,199,211,6107,92814,152209
152576,Tidespray Linen,2019-05-26,198,227,271,271,209,19762,142986,244946
152576,Tidespray Linen,2019-05-27,200,207,222,206,212,57999,206439,287441
152576,Tidespray Linen,2019-05-28,200,202,203,203,200,102877,153237,203596
152576,Tidespray Linen,2019-05-29,186,204,225,202,197,20427,66814,154962
153050,Shimmerscale,2019-05-23,258,274,296,296,266,25001,43839,48362
153050,Shimmerscale,2019-05-24,231,247,266,266,250,29106,42474,53473
153050,Shimmerscale,2019-05-25,239,250,280,250,250,24585,47852,66036
153050,Shimmerscale,2019-05-26,200,238,250,250,200,29736,37493,57878
153050,Shimmerscale,2019-05-27,200,200,200,200,200,36808,42630,53861
153050,Shimmerscale,2019-05-28,151,175,198,151,198,16209,28624,41038
153050,Shimmerscale,2019-05-29,193,195,198,198,195,15876,32904,42247
154164,Blood-Stained Bone,2019-05-24,294,384,437,437,297,41178,51786,62237
154164,Blood-Stained Bone,2019-05-25,298,529,1047,298,838,13682,30951,54462
154164,Blood-Stained Bone,2019-05-26,610,798,890,859,706,23119,29746,36828
154164,Blood-Stained Bone,2019-05-27,555,632,767,705,559,33164,37195,42305
154164,Blood-Stained Bone,2019-05-28,424,461,497,424,497,39975,50615,61255
154164,Blood-Stained Bone,2019-05-29,414,473,496,484,496,40257,48708,57559
109118,Blackrock Ore,2019-05-23,447,512,552,552,492,84044,85166,87105
109118,Blackrock Ore,2019-05-24,495,516,546,495,520,59801,84066,85646
109118,Blackrock Ore,2019-05-25,102,320,429,127,396,1106,45487,86056
109118,Blackrock Ore,2019-05-26,276,330,429,419,308,84493,89324,93592
109118,Blackrock Ore,2019-05-27,262,287,320,314,271,68502,79969,93655
109118,Blackrock Ore,2019-05-28,404,412,420,420,404,82866,83069,83271
109118,Blackrock Ore,2019-05-29,95,266,421,398,100,386,44779,83664
163223,Battle Potion of Agility,2019-05-23,9984,10199,11378,11378,9990,3556,4249,5652
163223,Battle Potion of Agility,2019-05-24,8771,9492,9979,9979,8893,3443,5470,7518
163223,Battle Potion of Agility,2019-05-25,7797,8164,8896,8896,7797,3911,5391,6374
163223,Battle Potion of Agility,2019-05-26,7913,9280,11876,7913,11876,3064,3992,5709
163223,Battle Potion of Agility,2019-05-27,11698,11773,11875,11875,11708,3867,4121,4398
163223,Battle Potion of Agility,2019-05-28,10059,10103,10147,10147,10059,7344,7707,8070
163223,Battle Potion of Agility,2019-05-29,9841,10217,10369,10360,9841,3552,4785,6634
163222,Battle Potion of Intellect,2019-05-23,9435,9930,10120,9949,9793,3105,4793,6752
163222,Battle Potion of Intellect,2019-05-24,8751,9222,9794,9794,8853,2553,4397,5591
163222,Battle Potion of Intellect,2019-05-25,7985,8383,8958,8958,7985,3075,5026,6121
163222,Battle Potion of Intellect,2019-05-26,7979,8235,8293,7979,8240,2857,3836,4379
163222,Battle Potion of Intellect,2019-05-27,8244,8370,9013,8244,8319,3316,3607,3859
163222,Battle Potion of Intellect,2019-05-28,10024,10050,10075,10024,10075,7253,7473,7692
163222,Battle Potion of Intellect,2019-05-29,9811,9977,10075,10073,9811,5781,6271,6826
163224,Battle Potion of Strength,2019-05-23,7835,8315,8510,8510,7845,5746,6424,7611
163224,Battle Potion of Strength,2019-05-24,6542,7419,7854,7854,6542,4999,5718,6776
163224,Battle Potion of Strength,2019-05-25,6000,6227,6709,6518,6000,3270,5006,5986
163224,Battle Potion of Strength,2019-05-26,5569,5858,5974,5956,5569,4490,4877,5459
163224,Battle Potion of Strength,2019-05-27,5507,5845,7078,5539,5810,3036,3796,4865
163224,Battle Potion of Strength,2019-05-28,6341,6410,6479,6341,6479,6111,6294,6476
163224,Battle Potion of Strength,2019-05-29,5675,6157,6462,6462,5675,3656,5074,7774
153051,Mistscale,2019-05-23,276,337,351,351,350,19796,25293,31263
153051,Mistscale,2019-05-24,297,329,350,350,314,17723,25733,34548
153051,Mistscale,2019-05-25,297,311,322,313,299,21377,24779,36174
153051,Mistscale,2019-05-26,296,374,407,299,407,11690,21316,38669
153051,Mistscale,2019-05-27,403,405,407,406,407,34548,37275,40701
153051,Mistscale,2019-05-28,645,645,645,645,645,37362,37368,37374
153051,Mistscale,2019-05-29,413,507,645,645,432,34043,40770,47142
