item,name_enus,when,pricemin,priceavg,pricemax,pricestart,priceend,quantityavg,quantitymin,quantitymax
152511,Sea Stalk,2019-05-28, 807 , 809 , 811 , 807 , 811 ," 34,289 "," 33,611 "," 34,967 "
152511,Sea Stalk,2019-05-29, 681 , 741 , 809 , 792 , 681 ," 55,770 "," 30,430 "," 88,512 "
152509,Siren's Pollen,2019-05-23," 1,261 "," 1,389 "," 1,461 "," 1,261 "," 1,332 "," 83,288 "," 43,072 "," 140,932 "
152509,Siren's Pollen,2019-05-24," 1,026 "," 1,194 "," 1,331 "," 1,331 "," 1,026 "," 128,821 "," 105,718 "," 160,872 "
152509,Siren's Pollen,2019-05-25, 987 ," 1,046 "," 1,123 "," 1,016 "," 1,095 "," 90,036 "," 49,368 "," 142,694 "
152509,Siren's Pollen,2019-05-26," 1,098 "," 1,535 "," 1,685 "," 1,098 "," 1,552 "," 53,833 "," 36,416 "," 76,100 "
152509,Siren's Pollen,2019-05-27," 1,382 "," 1,434 "," 1,550 "," 1,550 "," 1,382 "," 72,643 "," 63,381 "," 81,943 "
152509,Siren's Pollen,2019-05-28," 1,540 "," 1,547 "," 1,554 "," 1,554 "," 1,540 "," 106,729 "," 104,006 "," 109,452 "
152509,Siren's Pollen,2019-05-29," 1,247 "," 1,355 "," 1,523 "," 1,523 "," 1,247 "," 152,556 "," 115,625 "," 185,263 "
152579,Storm Silver Ore,2019-05-23," 1,309 "," 1,478 "," 1,636 "," 1,592 "," 1,636 "," 23,361 "," 10,708 "," 34,520 "
152579,Storm Silver Ore,2019-05-24," 1,400 "," 1,550 "," 1,632 "," 1,631 "," 1,576 "," 22,087 "," 13,711 "," 30,788 "
152579,Storm Silver Ore,2019-05-25," 1,543 "," 1,731 "," 1,983 "," 1,576 "," 1,864 "," 14,127 "," 6,952 "," 29,974 "
152579,Storm Silver Ore,2019-05-26," 1,620 "," 1,750 "," 1,861 "," 1,861 "," 1,664 "," 26,473 "," 14,584 "," 41,091 "
152579,Storm Silver Ore,2019-05-27," 1,458 "," 1,565 "," 1,659 "," 1,659 "," 1,460 "," 36,660 "," 31,434 "," 41,650 "
152579,Storm Silver Ore,2019-05-28," 1,814 "," 1,896 "," 1,978 "," 1,978 "," 1,814 "," 27,859 "," 22,940 "," 32,777 "
152579,Storm Silver Ore,2019-05-29," 1,457 "," 1,611 "," 1,798 "," 1,789 "," 1,508 "," 36,064 "," 26,466 "," 43,889 "
117,Tough Jerky,2019-05-23, 49 ," 58,408 "," 350,200 "," 350,200 ", 49 , 23 , 14 , 26 
117,Tough Jerky,2019-05-24, 48 , 48 , 49 , 49 , 48 , 10 , 3 , 26 
117,Tough Jerky,2019-05-25, 48 , 48 , 48 , 48 , 48 , 3 , 3 , 3 
117,Tough Jerky,2019-05-26, 48 ," 192,025 "," 248,489 ", 48 ," 248,489 ", 3 , 3 , 3 
117,Tough Jerky,2019-05-27," 248,489 "," 248,489 "," 248,489 "," 248,489 "," 248,489 ", 3 , 3 , 3 
117,Tough Jerky,2019-05-28, 198 , 198 , 198 , 198 , 198 , 1 , 1 , 1 
117,Tough Jerky,2019-05-29, 198 , 198 , 198 , 198 , 198 , 1 , 1 , 1 
